Date;Hour;Net Load
2023-09-12;6;3787.0
2023-09-12;7;4125.0
2023-09-12;8;4400.0
2023-09-12;9;4149.0
2023-09-12;10;3468.0
2023-09-12;11;2976.0
2023-09-12;12;2496.0
2023-09-12;13;2344.0
2023-09-12;14;2296.0
2023-09-12;15;2257.0
2023-09-12;16;2347.0
2023-09-12;17;2807.0
2023-09-12;18;3712.0
2023-09-12;19;4815.0
2023-09-12;20;5567.0
2023-09-12;21;5935.0
2023-09-12;22;5570.0
2023-09-12;23;4991.0
2023-09-12;24;4614.0
2023-09-13;1;4292.0
2023-09-13;2;4036.0
2023-09-13;3;3883.0
2023-09-13;4;3828.0
2023-09-13;5;3778.0
2023-09-13;6;3879.0
2023-09-13;7;4215.0
2023-09-13;8;4534.0
2023-09-13;9;4216.0
2023-09-13;10;3566.0
2023-09-13;11;3038.0
2023-09-13;12;2712.0
2023-09-13;13;2493.0
2023-09-13;14;2475.0
2023-09-13;15;2465.0
2023-09-13;16;2584.0
2023-09-13;17;3022.0
2023-09-13;18;3917.0
2023-09-13;19;5002.0
2023-09-13;20;5795.0
2023-09-13;21;6079.0
2023-09-13;22;5728.0
2023-09-13;23;5212.0
2023-09-13;24;4846.0
2023-09-14;1;4414.0
2023-09-14;2;4139.0
2023-09-14;3;3960.0
2023-09-14;4;3851.0
2023-09-14;5;3822.0
2023-09-14;6;3935.0
2023-09-14;7;4302.0
2023-09-14;8;4585.0
2023-09-14;9;4283.0
2023-09-14;10;3722.0
2023-09-14;11;3356.0
2023-09-14;12;3176.0
2023-09-14;13;3087.0
2023-09-14;14;3038.0
2023-09-14;15;2962.0
2023-09-14;16;3071.0
2023-09-14;17;3471.0
2023-09-14;18;4301.0
2023-09-14;19;5290.0
2023-09-14;20;5932.0
2023-09-14;21;6231.0
2023-09-14;22;5809.0
2023-09-14;23;5364.0
2023-09-14;24;5007.0
2023-09-15;1;4577.0
2023-09-15;2;4290.0
2023-09-15;3;4149.0
2023-09-15;4;4052.0
2023-09-15;5;4031.0
2023-09-15;6;4150.0
2023-09-15;7;4502.0
2023-09-15;8;4807.0
2023-09-15;9;4675.0
2023-09-15;10;4198.0
2023-09-15;11;3623.0
2023-09-15;12;3260.0
2023-09-15;13;3156.0
2023-09-15;14;3089.0
2023-09-15;15;3035.0
2023-09-15;16;3113.0
2023-09-15;17;3502.0
2023-09-15;18;4398.0
2023-09-15;19;5384.0
2023-09-15;20;5989.0
2023-09-15;21;6192.0
2023-09-15;22;5753.0
2023-09-15;23;5325.0
2023-09-15;24;5029.0
2023-09-16;1;4683.0
2023-09-16;2;4382.0
2023-09-16;3;4220.0
2023-09-16;4;4101.0
2023-09-16;5;3990.0
2023-09-16;6;4007.0
2023-09-16;7;4191.0
2023-09-16;8;4262.0
2023-09-16;9;3938.0
2023-09-16;10;3418.0
2023-09-16;11;2920.0
2023-09-16;12;2573.0
2023-09-16;13;2488.0
2023-09-16;14;2570.0
2023-09-16;15;2616.0
2023-09-16;16;2679.0
2023-09-16;17;3073.0
2023-09-16;18;3948.0
2023-09-16;19;4895.0
2023-09-16;20;5479.0
2023-09-16;21;5633.0
2023-09-16;22;5310.0
2023-09-16;23;4915.0
2023-09-16;24;4620.0
2023-09-17;1;4354.0
2023-09-17;2;4100.0
2023-09-17;3;3876.0
2023-09-17;4;3727.0
2023-09-17;5;3711.0
2023-09-17;6;3716.0
2023-09-17;7;3753.0
2023-09-17;8;3691.0
2023-09-17;9;3360.0
2023-09-17;10;2816.0
2023-09-17;11;2303.0
2023-09-17;12;2023.0
2023-09-17;13;1852.0
2023-09-17;14;1815.0
2023-09-17;15;1712.0
2023-09-17;16;1930.0
2023-09-17;17;2561.0
2023-09-17;18;3414.0
2023-09-17;19;4400.0
2023-09-17;20;5009.0
2023-09-17;21;5343.0
2023-09-17;22;5111.0
2023-09-17;23;4765.0
2023-09-17;24;4482.0
2023-09-18;1;4137.0
2023-09-18;2;3909.0
2023-09-18;3;3786.0
2023-09-18;4;3702.0
2023-09-18;5;3662.0
2023-09-18;6;3751.0
2023-09-18;7;4102.0
2023-09-18;8;4587.0
2023-09-18;9;4585.0
2023-09-18;10;4131.0
2023-09-18;11;3640.0
2023-09-18;12;3409.0
2023-09-18;13;3218.0
2023-09-18;14;3080.0
2023-09-18;15;3001.0
2023-09-18;16;2944.0
2023-09-18;17;3231.0
2023-09-18;18;4032.0
2023-09-18;19;5010.0
2023-09-18;20;5694.0
2023-09-18;21;5959.0
2023-09-18;22;5558.0
2023-09-18;23;5012.0
2023-09-18;24;4644.0
2023-09-19;1;4318.0
2023-09-19;2;4048.0
2023-09-19;3;3880.0
2023-09-19;4;3788.0
2023-09-19;5;3808.0
2023-09-19;6;3892.0
2023-09-19;7;4272.0
2023-09-19;8;4593.0
2023-09-19;9;4411.0
2023-09-19;10;3838.0
2023-09-19;11;3402.0
2023-09-19;12;3011.0
2023-09-19;13;2824.0
2023-09-19;14;2832.0
2023-09-19;15;2780.0
2023-09-19;16;2854.0
2023-09-19;17;3292.0
2023-09-19;18;4194.0
2023-09-19;19;5263.0
2023-09-19;20;5890.0
2023-09-19;21;6110.0
2023-09-19;22;5693.0
2023-09-19;23;5149.0
2023-09-19;24;4828.0
2023-09-20;1;4452.0
2023-09-20;2;4137.0
2023-09-20;3;3985.0
2023-09-20;4;3896.0
2023-09-20;5;3923.0
2023-09-20;6;4010.0
2023-09-20;7;4386.0
2023-09-20;8;4754.0
2023-09-20;9;4619.0
2023-09-20;10;4041.0
2023-09-20;11;3535.0
2023-09-20;12;3211.0
2023-09-20;13;3053.0
2023-09-20;14;3007.0
2023-09-20;15;3054.0
2023-09-20;16;3229.0
2023-09-20;17;3597.0
2023-09-20;18;4371.0
2023-09-20;19;5330.0
2023-09-20;20;5952.0
2023-09-20;21;6208.0
2023-09-20;22;5820.0
2023-09-20;23;5354.0
2023-09-20;24;4997.0
2023-09-21;1;4556.0
2023-09-21;2;4292.0
2023-09-21;3;4107.0
2023-09-21;4;4019.0
2023-09-21;5;3981.0
2023-09-21;6;4075.0
2023-09-21;7;4415.0
2023-09-21;8;4770.0
2023-09-21;9;4722.0
2023-09-21;10;4366.0
2023-09-21;11;4029.0
2023-09-21;12;3840.0
2023-09-21;13;3840.0
2023-09-21;14;3633.0
2023-09-21;15;3512.0
2023-09-21;16;3529.0
2023-09-21;17;3911.0
2023-09-21;18;4746.0
2023-09-21;19;5497.0
2023-09-21;20;6028.0
2023-09-21;21;6218.0
2023-09-21;22;5760.0
2023-09-21;23;5285.0
2023-09-21;24;4964.0
2023-09-22;1;4569.0
2023-09-22;2;4270.0
2023-09-22;3;4104.0
2023-09-22;4;3987.0
2023-09-22;5;3990.0
2023-09-22;6;4110.0
2023-09-22;7;4463.0
2023-09-22;8;4879.0
2023-09-22;9;4769.0
2023-09-22;10;4322.0
2023-09-22;11;3770.0
2023-09-22;12;3479.0
2023-09-22;13;3261.0
2023-09-22;14;3215.0
2023-09-22;15;3187.0
2023-09-22;16;3345.0
2023-09-22;17;3814.0
2023-09-22;18;4647.0
2023-09-22;19;5538.0
2023-09-22;20;6130.0
2023-09-22;21;6266.0
2023-09-22;22;5808.0
2023-09-22;23;5355.0
2023-09-22;24;5073.0
2023-09-23;1;4700.0
2023-09-23;2;4385.0
2023-09-23;3;4215.0
2023-09-23;4;4101.0
2023-09-23;5;4035.0
2023-09-23;6;4051.0
2023-09-23;7;4290.0
2023-09-23;8;4401.0
2023-09-23;9;4186.0
2023-09-23;10;3625.0
2023-09-23;11;3170.0
2023-09-23;12;2940.0
2023-09-23;13;2902.0
2023-09-23;14;2970.0
2023-09-23;15;3014.0
2023-09-23;16;3150.0
2023-09-23;17;3574.0
2023-09-23;18;4418.0
2023-09-23;19;5285.0
2023-09-23;20;5785.0
2023-09-23;21;5874.0
2023-09-23;22;5538.0
2023-09-23;23;5189.0
2023-09-23;24;4877.0
2023-09-24;1;4521.0
2023-09-24;2;4251.0
2023-09-24;3;4045.0
2023-09-24;4;3880.0
2023-09-24;5;3774.0
2023-09-24;6;3736.0
2023-09-24;7;3874.0
2023-09-24;8;3852.0
2023-09-24;9;3633.0
2023-09-24;10;3297.0
2023-09-24;11;3021.0
2023-09-24;12;3074.0
2023-09-24;13;3230.0
2023-09-24;14;3156.0
2023-09-24;15;3165.0
2023-09-24;16;3362.0
2023-09-24;17;3821.0
2023-09-24;18;4403.0
2023-09-24;19;4889.0
2023-09-24;20;5402.0
